"t"	"glc"	"gln"	"cys2o"	"xct"	"ros[t]"	"ca[t]"	"gsh[t]"	"gssg[t]"	"nadph[t]"	"cys2[t]"	"cys[t]"	"pptaseRed[t]"	"rtkPhos[t]"	"glu[t]"	"ros'[t]"	"ca'[t]"	"gsh'[t]"	"gssg'[t]"	"nadph'[t]"	"cys2'[t]"	"cys'[t]"	"pptaseRed'[t]"	"rtkPhos'[t]"	"glu'[t]"
0	0	2000	200	3	0.0011004364350926115	0.10110043643509262	2862.7623149642886	100.33739219717576	0.8829376627450988	6.476203708954218	867.9074943067577	0.09999615618058633	0.00909122677303604	1906.0280554150588	-15.625158906232997	4.336808689942018e-19	2.842170943040401e-14	-2.842170943040401e-14	-995.0298666666607	-2.842170943040401e-14	5.684341886080802e-14	-2.3978215246689416e-15	-1.734723475979013e-18	2.8421709430376464e-14
1	0	2000	200	3	0.0011533879349932966	0.10108833263989014	2651.209763149528	203.6806981477081	0.09441562706022888	53.4334345811008	794.9829786393562	0.09999565361982349	0.009091233034379644	1910.728621293393	0.00018151591889115475	0.00006505529950601708	-205.88881101276692	99.62861324720734	-0.0242343319680246	20.617044245427515	-11.747667800615472	-1.0212486613573533e-6	3.8801734553836966e-8	6.227100379612478
2	0	2000	200	3	0.0013481430535107661	0.10119973324046976	2455.2342782288106	298.40583446458396	0.07901449703777286	68.12622456832024	795.9335679975252	0.0999945145476018	0.009091292529931596	1916.5943669338103	0.00020802634404166567	0.00014840981419296116	-186.1633721405341	90.01611061920308	-0.010295200879562491	11.004710247959583	7.923405418536842	-1.262028576765907e-6	7.691559992673339e-8	5.234152492917731
3	0	2000	200	3	0.0015702295577370037	0.10137375609442291	2278.0960743431488	384.21855492802683	0.07087690298188087	77.47696800892761	805.6472680060542	0.09999311453951482	0.009091383424601484	1921.0197341790067	0.00023677467885740652	0.0001964734186939499	-168.60366972685492	81.86524545097473	-0.0065661376134402115	8.151953532909747	10.402241650730499	-1.5473893936672347e-6	1.0421653537202303e-7	3.620532986882241
4	0	2000	200	3	0.0018232740392092155	0.10158930266926702	2117.061742989579	462.6053161568169	0.06524718937426312	84.93437111449227	815.6413235172822	0.0999913974292506	0.009091500888041304	1923.909979582458	0.0002702527672946728	0.00023397136530284627	-153.9170840608102	75.11837728677466	-0.004867345024534412	6.900029513901317	9.350314359167513	-1.8998484063342206e-6	1.31125953653676e-7	2.2132375747704063
5	0	2000	200	3	0.0021129025291772665	0.10184167233228478	1969.440543943871	534.8285312996048	0.0609174628706372	91.44721824057008	824.1508076265872	0.09998928460737033	0.009091647132991704	1925.5585345823697	0.0003102400355242455	0.0002712302065567385	-141.69443887465897	69.49316731820373	-0.0038653359395306843	6.178290141582963	7.651182599494028	-2.3432545051846855e-6	1.6235940350091348e-7	1.138795844850205
6	0	2000	200	3	0.002446568781315649	0.10213335474286345	1833.0107459804988	601.8855797449291	0.05740999126551996	97.36288953719995	830.9804417918356	0.09998667037828517	0.00909182808072674	1926.2889281804612	0.0003586897372023132	0.00031321410479454265	-131.46148797819788	64.75189895236402	-0.0031883753626650376	5.677919937579494	6.046614070088609	-2.9086814114813174e-6	2.0101755284216216e-7	0.36764050074772897
7	0	2000	200	3	0.0028339286428897066	0.10247075885375975	1705.9838625026107	664.5681274397401	0.05448013295666226	102.8403008341254	836.3349144859716	0.09998341239127889	0.009092052671728072	1926.3744769611433	0.0004181094286396429	0.0003631700769316277	-122.83285695256006	60.7196641265296	-0.0026951210714274876	5.291102964185652	4.710007902723833	-3.6392801315531045e-6	2.5021561998584996e-7	-0.16140614972281633
8	0	2000	200	3	0.00328757556922725	0.10286337754309827	1586.9069337143537	723.519550994736	0.051980926437421325	107.96809686578538	840.4926103065329	0.09997931637735305	0.009092333339468186	1926.0269417036293	0.0004919398038720797	0.0004241984667067762	-115.52107981549443	57.27255442962442	-0.002319225362267908	4.973973503670499	3.6485449709152746	-4.597168738920857e-6	3.139512185540165e-7	-0.50764378243648
9	0	2000	200	3	0.003824221583296324	0.10332410322026948	1474.5719505632403	779.2794927186555	0.04981482680128305	112.80457488585436	843.7107171769577	0.09997411209926794	0.009092687280644978	1925.4036340122707	0.0005850891318840866	0.0005001200439760854	-109.32066321373725	54.325156373187724	-0.002024329782943398	4.70611400224791	2.823023464572466	-5.874572008480196e-6	3.9790004866252154e-7	-0.7201988605604522
10	0	2000	200	3	0.004466563477290466	0.10387032167706788	1367.9420514833128	832.3176574308058	0.0479127193049767	117.39316561945786	846.2015231490898	0.09996741459588415	0.009093138645199452	1924.6182818845607	0.0007048022253252006	0.0005962422825960832	-104.09278736871367	51.82197238202941	-0.0017883991367352563	4.476927523239844	2.186232787152251	-7.612815586698989e-6	5.10527308369106e-7	-0.8372306870094307
11	0	2000	200	3	0.005246316243902805	0.10452589354646813	1266.09004612648	883.0611850609314	0.04622317871430905	121.7693501360883	848.1315807811951	0.09995865926222172	0.009093722194740575	1923.7513825906476	0.0008622048862059071	0.0007204238685039924	-99.75572232066885	49.732851627391526	-0.0015969558436495046	4.280595360254224	1.6948659878583887	-0.000010037597643829954	6.649997937901242e-7	-0.8873741528903335
12	0	2000	200	3	0.006209335439699977	0.10532449902528586	1168.1433830983378	931.9192240617667	0.04470662874209597	125.9642779817379	849.6275042851486	0.09994698839257016	0.00909448954297412	1922.8587805306333	0.0010750841216846981	0.0008848394196253991	-96.28231525773808	48.05224451362374	-0.0014412157672640668	4.114094766885653	1.3124600260291492	-0.000013524554309782363	8.826445074991874e-7	-0.8915835297583955
13	0	2000	200	3	0.007424758406138685	0.10631544554351773	1073.2270237806677	979.3090761047129	0.043331356593557926	130.007149465348	850.7827618026047	0.099931040849316	0.009095520356800698	1921.9784771452553	0.0013735305556571618	0.00110932201755156	-93.70672322108673	46.80310552760968	-0.001313812669916521	3.976489644064388	1.0090109780636471	-0.000018737717461513513	1.1998198589581948e-6	-0.8648538777400397
14	0	2000	200	3	0.009002391122756888	0.10757429603003958	980.3930237336634	1025.689476151371	0.042070935822255955	133.9272365458086	851.663489042781	0.09990853500547582	0.009096943722038927	1921.1358911823033	0.0018116212880024392	0.00142814289152028	-92.14600883889509	46.04811438199239	-0.0012108629965714643	3.868904112846521	0.7595454703768052	-0.000026928158323078193	1.682513870903937e-6	-0.8175545309853149
15	0	2000	200	3	0.011129067530858072	0.1092238576168492	888.5162238505249	1071.6111978880956	0.04090227776362199	137.75616685961245	852.312455891933	0.09987535952488236	0.009098982349323962	1920.3479262717797	0.0024961060107720335	0.0019052440414603453	-91.84953738323138	45.91470894055689	-0.001130050955420338	3.7950853357613257	0.5418958639883824	-0.000040688628644635284	2.460505708050364e-6	-0.7564869298035695
16	0	2000	200	3	0.014151112352121234	0.1114794991801365	796.1123050244927	1117.8067243487023	0.03980355949900602	141.53122228635573	852.7504425012793	0.09982339071988316	0.00910205329924173	1919.6261988135375	0.003660093532650285	0.002671658423808077	-93.3147271166793	46.653117923173696	-0.0010711682326032138	3.762966571871117	0.33354710485034417	-0.00006603675652805723	3.816552091735174e-6	-0.6854907275222719
17	0	2000	200	3	0.018798100523525138	0.11476146860011427	700.9666529296421	1165.3745870232221	0.03875166391337054	145.3011056438746	852.9732461714987	0.09973424434096267	0.009107033201084738	1918.979863794782	0.0059045670953806915	0.004036675589620129	-97.58152235358452	48.78355947718286	-0.0010373299179651974	3.7884008970315453	0.10567685282595754	-0.0001195457366218662	6.466063499979183e-6	-0.6056284216471316
18	0	2000	200	3	0.026926272258426722	0.12002997393662648	599.2319320138473	1216.2291111951217	0.03771729743678767	149.1380052752819	852.9393089882783	0.09955698761683404	0.009116109821464762	1918.418646359028	0.011207750349739436	0.006896372760713562	-107.13132332191535	53.54521138560949	-0.0010389067637359346	3.9052039870240662	-0.19157757319223775	-0.00026026662949805865	0.000012664914947599036	-0.5144593097430508
19	0	2000	200	3	0.04510500778572856	0.13014788530888766	482.59928391567877	1274.5123429452424	0.03665167094760599	153.16886454239292	852.5288022941007	0.09909083559305366	0.009136583790109438	1917.9575742167224	0.02956128995796168	0.014957153714395271	-129.62191025163133	64.76188335809168	-0.0011097156660516715	4.199337322012479	-0.6806555153418591	-0.0008187175156448527	0.000032824522833838014	-0.4028671120986202
