"i"	"xct"	"nStableState"	"rosmax"	"rosmd"	"rosmin"	"camax"	"camd"	"camin"	"nadphmax"	"nadphmd"	"nadphmin"	"gshmax"	"gshmd"	"gshmin"	"gssgmax"	"gssgmd"	"gssgmin"	"cysmax"	"cysmd"	"cysmin"	"cys2max"	"cys2md"	"cys2min"	"glumax"	"glumd"	"glumin"	"pptaseRedmax"	"pptaseRedmd"	"pptaseRedmin"	"rtkPhosmax"	"rtkPhosmd"	"rtkPhosmin"	"glc"	"gln"	"cys2o"	"switchNadphRed"	"kGshPro"	"kGshRed"
1	3	1	0.9139737697615753	0.9139737697615753	0.9139737697615753	1.0139737697615754	1.0139737697615754	1.0139737697615754	0.03163470258263512	0.03163470258263512	0.03163470258263512	87.9472238589532	87.9472238589532	87.9472238589532	1487.7449377498435	1487.7449377498435	1487.7449377498435	867.9074943067577	867.9074943067577	867.9074943067577	180.75353012434957	180.75353012434957	180.75353012434957	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.049038121833292224	0.049038121833292224	0.049038121833292224	0.016938208211022213	0.016938208211022213	0.016938208211022213	0	2000	200	0.7	0.00005	1.7
2	3	1	0.8162856296407517	0.8162856296407517	0.8162856296407517	0.9162856296407518	0.9162856296407518	0.9162856296407518	0.04889993523715602	0.04889993523715602	0.04889993523715602	108.2883512892973	108.2883512892973	108.2883512892973	1477.5743740346716	1477.5743740346716	1477.5743740346716	867.9074943067577	867.9074943067577	867.9074943067577	116.93439139568349	116.93439139568349	116.93439139568349	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.057018803046066435	0.057018803046066435	0.057018803046066435	0.014921185615813437	0.014921185615813437	0.014921185615813437	10	2000	200	0.7	0.00005	1.7
3	3	3	0.7511684232128965	0.03774688358555896	0.0030884658438972814	0.8511684232128963	0.13774688358555895	0.10308846584389729	0.10010733282557226	0.0723797173748437	0.06547135373239968	1636.762703469876	542.8528423784214	126.1189958159292	1468.6590517713555	1260.2921284901095	713.3371979443821	867.9074943067577	867.9074943067577	867.9074943067577	87.337191615384	79.00119499820752	57.11953365302827	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09998113420367123	0.0993094587911687	0.06267223422198342	0.01376041359820336	0.009148339137882475	0.009092468515083014	20	2000	200	0.7	0.00005	1.7
4	3	3	0.7029457107931958	0.06587697157840747	0.002003164955897274	0.8029457107931958	0.16587697157840747	0.10200316495589727	0.1415186458334941	0.08751825041820992	0.08137629565139462	2022.3915760081886	452.6528101648318	142.1591011376414	1460.6389991104995	1305.3921445969042	520.5227616752259	867.9074943067577	867.9074943067577	867.9074943067577	70.26719661387267	65.33590581302818	40.40516451078026	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999009604971068	0.09856552349960454	0.06691298844317756	0.013001705176737332	0.00921102729268968	0.009091727672899242	30	2000	200	0.7	0.00005	1.7
5	3	3	0.6647346718336979	0.09134377256990077	0.0016468427763938866	0.7647346718336979	0.19134377256990076	0.10164684277639388	0.17960559367301313	0.10253600258805651	0.0966454412448642	2227.473637723509	414.3816959948567	156.84925691270513	1453.2939212229676	1324.5277016818918	417.9817308175655	867.9074943067577	867.9074943067577	867.9074943067577	59.16558600790743	55.76659926189891	31.83689354717661	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999260722550818	0.0978432041110378	0.07023434697367724	0.012463490234775311	0.009272721524208216	0.009091520105072044	40	2000	200	0.7	0.00005	1.7
6	3	3	0.6329699587942119	0.11506566378137517	0.0014725526617191066	0.7329699587942119	0.21506566378137515	0.10147255266171912	0.21443567830266988	0.11703846811060024	0.1113104448266766	2354.53812789874	392.75332479898566	170.4884931179695	1446.4743031203354	1335.3418872798272	354.4494857299499	867.9074943067577	867.9074943067577	867.9074943067577	51.37059846583942	48.85645086230658	26.665731241674546	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999374628698915	0.09715367103458307	0.07292518190462727	0.012059063085928542	0.009332391418276818	0.0090914259560799	50	2000	200	0.7	0.00005	1.7
7	3	3	0.6055799408208814	0.13741682870801128	0.0013701370135712487	0.7055799408208814	0.23741682870801128	0.10137013701357125	0.24624556723658372	0.13096755884791195	0.12540283416134626	2440.695465940774	378.746808858255	183.29660201202304	1440.0702486733085	1342.3451452501927	311.3708167089331	867.9074943067577	867.9074943067577	867.9074943067577	45.597726753832006	43.66030959533565	23.221064364384887	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999438659955161	0.09649883164465183	0.07516635115677013	0.01174172647316131	0.00938977437176625	0.009091373031976858	60	2000	200	0.7	0.00005	1.7
8	3	3	0.5812478090217371	0.1586680205516262	0.0013031219719423339	0.6812478090217371	0.2586680205516262	0.10130312197194234	0.2753359605012451	0.14432546288056408	0.13895350301728016	2502.829561838067	368.8328903722207	195.44696632696915	1433.9950665158356	1347.3021044932098	280.30376876028646	867.9074943067577	867.9074943067577	867.9074943067577	41.15106162911258	39.619371745768476	20.767662007663247	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999479367613738	0.0958755355495488	0.077077579999617	0.011484012302643213	0.009445052578100152	0.009091339385974442	70	2000	200	0.7	0.00005	1.7
9	3	3	0.5590664235560392	0.1790656983962296	0.0012560541208028965	0.6590664235560392	0.2790656983962296	0.1012560541208029	0.3020035645354342	0.15713064006154534	0.15199253716536448	2549.6963760396457	361.3030332800009	207.08656274352737	1428.1752683075565	1351.0670330393198	256.87036165949735	867.9074943067577	867.9074943067577	867.9074943067577	37.62082186985292	36.39063752305408	18.933830052771683	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999507395367231	0.09527792289743935	0.07874217231790048	0.011268599515658766	0.009498667645392185	0.009091316220408013	80	2000	200	0.7	0.00005	1.7
10	3	3	0.5383555338894276	0.19886211722539585	0.0012212995415536111	0.6383555338894276	0.29886211722539585	0.10122129954155362	0.326518703304141	0.16940592867768334	0.16454927983362785	2586.2745530773036	355.2025589753142	218.35064779388873	1422.5432257823757	1354.117270191663	238.5812731406682	867.9074943067577	867.9074943067577	867.9074943067577	34.74997989676166	33.7537429231569	17.51227145147326	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999527798829329	0.09469826524384051	0.08022105707233095	0.011083886982151984	0.009551256629429504	0.009091299356563555	90	2000	200	0.7	0.00005	1.7
