"i"	"xct"	"nStableState"	"rosmax"	"rosmd"	"rosmin"	"camax"	"camd"	"camin"	"nadphmax"	"nadphmd"	"nadphmin"	"gshmax"	"gshmd"	"gshmin"	"gssgmax"	"gssgmd"	"gssgmin"	"cysmax"	"cysmd"	"cysmin"	"cys2max"	"cys2md"	"cys2min"	"glumax"	"glumd"	"glumin"	"pptaseRedmax"	"pptaseRedmd"	"pptaseRedmin"	"tkPhosmax"	"tkPhosmd"	"tkPhosmin"	"glc"	"gln"	"cys2o"	"switchNadphRed"	"kGshPro"	"kGshRed"
1	3	1	0.9139737697615753	0.9139737697615753	0.9139737697615753	1.0139737697615754	1.0139737697615754	1.0139737697615754	0.03163470258263512	0.03163470258263512	0.03163470258263512	87.9472238589532	87.9472238589532	87.9472238589532	1487.7449377498435	1487.7449377498435	1487.7449377498435	867.9074943067577	867.9074943067577	867.9074943067577	180.75353012434957	180.75353012434957	180.75353012434957	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.049038121833292224	0.049038121833292224	0.049038121833292224	0.016938208211022213	0.016938208211022213	0.016938208211022213	0	2000	200	0.7	0.00005	1.7
2	3	1	0.8904297705409903	0.8904297705409903	0.8904297705409903	0.9904297705409902	0.9904297705409902	0.9904297705409902	0.03514434130952174	0.03514434130952174	0.03514434130952174	92.2672596204795	92.2672596204795	92.2672596204795	1485.5849198690803	1485.5849198690803	1485.5849198690803	867.9074943067577	867.9074943067577	867.9074943067577	162.7028407186554	162.7028407186554	162.7028407186554	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.05088916175543016	0.05088916175543016	0.05088916175543016	0.016423284065177974	0.016423284065177974	0.016423284065177974	2	2000	200	0.7	0.00005	1.7
3	3	1	0.8692319994060864	0.8692319994060864	0.8692319994060864	0.9692319994060865	0.9692319994060865	0.9692319994060865	0.03862553625037388	0.03862553625037388	0.03862553625037388	96.45053069893767	96.45053069893767	96.45053069893767	1483.4932843298513	1483.4932843298513	1483.4932843298513	867.9074943067577	867.9074943067577	867.9074943067577	148.03895871322246	148.03895871322246	148.03895871322246	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.052597790513695966	0.052597790513695966	0.052597790513695966	0.015975004737287125	0.015975004737287125	0.015975004737287125	4	2000	200	0.7	0.00005	1.7
4	3	1	0.8499991709536602	0.8499991709536602	0.8499991709536602	0.9499991709536602	0.9499991709536602	0.9499991709536602	0.04207842441553806	0.04207842441553806	0.04207842441553806	100.5086486635513	100.5086486635513	100.5086486635513	1481.4642253475445	1481.4642253475445	1481.4642253475445	867.9074943067577	867.9074943067577	867.9074943067577	135.89111868299167	135.89111868299167	135.89111868299167	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.054180058075684795	0.054180058075684795	0.054180058075684795	0.015581163837850426	0.015581163837850426	0.015581163837850426	6	2000	200	0.7	0.00005	1.7
5	3	1	0.832430588172035	0.832430588172035	0.832430588172035	0.932430588172035	0.932430588172035	0.932430588172035	0.04550316496618556	0.04550316496618556	0.04550316496618556	104.45166397969749	104.45166397969749	104.45166397969749	1479.4927176894714	1479.4927176894714	1479.4927176894714	867.9074943067577	867.9074943067577	867.9074943067577	125.66343836729634	125.66343836729634	125.66343836729634	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0556497606449605	0.0556497606449605	0.0556497606449605	0.01523234799602828	0.01523234799602828	0.01523234799602828	8	2000	200	0.7	0.00005	1.7
6	3	1	0.8162856296407517	0.8162856296407517	0.8162856296407517	0.9162856296407518	0.9162856296407518	0.9162856296407518	0.04889993523715602	0.04889993523715602	0.04889993523715602	108.2883512892973	108.2883512892973	108.2883512892973	1477.5743740346716	1477.5743740346716	1477.5743740346716	867.9074943067577	867.9074943067577	867.9074943067577	116.93439139568349	116.93439139568349	116.93439139568349	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.057018803046066435	0.057018803046066435	0.057018803046066435	0.014921185615813437	0.014921185615813437	0.014921185615813437	10	2000	200	0.7	0.00005	1.7
7	3	1	0.8013692408046943	0.8013692408046943	0.8013692408046943	0.9013692408046943	0.9013692408046943	0.9013692408046943	0.05226892753763755	0.05226892753763755	0.05226892753763755	112.02643075422814	112.02643075422814	112.02643075422814	1475.705334302206	1475.705334302206	1475.705334302206	867.9074943067577	867.9074943067577	867.9074943067577	109.39738838390603	109.39738838390603	109.39738838390603	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.05829749946372208	0.05829749946372208	0.05829749946372208	0.014641824486285551	0.014641824486285551	0.014641824486285551	12	2000	200	0.7	0.00005	1.7
8	3	3	0.7875214660889172	0.01659454694394753	0.006786969967272994	0.8875214660889171	0.11659454694394754	0.106786969967273	0.07247622733112706	0.06517653981074523	0.05561034654761639	1123.6848691123396	751.4429303389082	115.67274224278755	1473.8821785579264	1155.997084509866	969.8761151231503	867.9074943067577	867.9074943067577	867.9074943067577	102.82410596648708	87.73224511225852	78.89599633988365	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999396372297018	0.09977965085128217	0.05949482235838167	0.014389561208503352	0.009109156316726624	0.0090959004886532	14	2000	200	0.7	0.00005	1.7
9	3	3	0.7746097614964178	0.024758575070230583	0.004567948356966833	0.8746097614964179	0.12475857507023058	0.10456794835696682	0.08236704862503282	0.06689837980308158	0.05892440717758949	1355.3341643172182	636.9117079730852	119.23338414255201	1472.1018576080442	1213.2626956927775	854.0514675207111	867.9074943067577	867.9074943067577	867.9074943067577	97.04101305612991	85.47418013824277	69.42198684665932	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09996630787123836	0.09961277671936522	0.060618608467181374	0.01416057356135431	0.009123024066439243	0.009093694417483937	16	2000	200	0.7	0.00005	1.7
10	3	3	0.7625232586775694	0.03150469667205318	0.0036346224952609196	0.8625232586775694	0.13150469667205317	0.10363462249526093	0.09137898477676759	0.06951320015956408	0.06221133279340384	1512.68415732882	580.1358241376851	122.71382523963982	1470.3616370595003	1241.6506376104776	775.3764710149101	867.9074943067577	867.9074943067577	867.9074943067577	91.91386696752228	82.25896884504814	62.57548363241343	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09997597813546495	0.09945987593045362	0.06167572954326392	0.013951724054603364	0.009135767709396635	0.009092894802610727	18	2000	200	0.7	0.00005	1.7
11	3	3	0.7511684232128965	0.03774688358555896	0.0030884658438972814	0.8511684232128963	0.13774688358555895	0.10308846584389729	0.10010733282557226	0.0723797173748437	0.06547135373239968	1636.762703469876	542.8528423784214	126.1189958159292	1468.6590517713555	1260.2921284901095	713.3371979443821	867.9074943067577	867.9074943067577	867.9074943067577	87.337191615384	79.00119499820752	57.11953365302827	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09998113420367123	0.0993094587911687	0.06267223422198342	0.01376041359820336	0.009148339137882475	0.009092468515083014	20	2000	200	0.7	0.00005	1.7
12	3	3	0.7404657251291549	0.043699914358248965	0.0027259840988358877	0.8404657251291547	0.14369991435824897	0.10272598409883589	0.10866212579968676	0.07535321608829884	0.0687047060545408	1739.2457624335564	515.7075222932232	129.45336251786836	1466.991868420386	1273.8647885327084	662.0956684625419	867.9074943067577	867.9074943067577	867.9074943067577	83.226965001581	75.88374409321469	52.62260538493588	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09998432908694617	0.09915974228447387	0.06361346626390113	0.013584471031632215	0.009160886413545823	0.009092204392222712	22	2000	200	0.7	0.00005	1.7
13	3	3	0.7303470551411119	0.049452196443786095	0.0024673321035662225	0.8303470551411118	0.1494521964437861	0.10246733210356622	0.11707469791545874	0.07837646182432546	0.07191163048502151	1825.970185515503	494.773896340428	132.72099041491094	1465.3580544718645	1284.3316015091061	618.7334569215686	867.9074943067577	867.9074943067577	867.9074943067577	79.51542925224311	72.95665092744046	48.84133179975647	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09998648938098063	0.0990104001455632	0.06450416345251246	0.013422068696031748	0.009173436650674481	0.009092025808152803	24	2000	200	0.7	0.00005	1.7
14	3	3	0.7207536976581697	0.05504939751332814	0.0022735664533569235	0.8207536976581697	0.15504939751332814	0.10227356645335693	0.12535414536679007	0.08142121021495753	0.07509237151434406	1900.5358476572471	478.0122721338823	135.92559484572791	1463.7557522564562	1292.712413612379	581.4506258506966	867.9074943067577	867.9074943067577	867.9074943067577	76.14733761808168	70.22843496367894	45.615437363590075	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09998803866547813	0.09886148008467596	0.0653485406183465	0.013271657178672838	0.009185985706074987	0.009091897738457169	26	2000	200	0.7	0.00005	1.7
15	3	3	0.7116347245907773	0.06051849534384386	0.0021231576493159878	0.8116347245907772	0.16051849534384385	0.10212315764931598	0.13350228143055246	0.08447166532945152	0.07824717662900826	1965.41050857428	464.2256474234573	139.0705850499316	1462.1832571543544	1299.6057259675915	549.0132953921801	867.9074943067577	867.9074943067577	867.9074943067577	73.07719476392371	67.69233380144495	42.83135917208807	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09998919855008284	0.09871313223075039	0.0661503596028783	0.01313191434964941	0.00919852072588101	0.009091801860385926	28	2000	200	0.7	0.00005	1.7
16	3	3	0.7029457107931958	0.06587697157840747	0.002003164955897274	0.8029457107931958	0.16587697157840747	0.10200316495589727	0.1415186458334941	0.08751825041820992	0.08137629565139462	2022.3915760081886	452.6528101648318	142.1591011376414	1460.6389991104995	1305.3921445969042	520.5227616752259	867.9074943067577	867.9074943067577	867.9074943067577	70.26719661387267	65.33590581302818	40.40516451078026	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999009604971068	0.09856552349960454	0.06691298844317756	0.013001705176737332	0.00921102729268968	0.009091727672899242	30	2000	200	0.7	0.00005	1.7
17	3	3	0.6946476979135677	0.0711369735710573	0.0019053230775048615	0.7946476979135677	0.1711369735710573	0.10190532307750486	0.149402355227507	0.09055482710463685	0.08447998017161083	2072.839466378252	442.781027923257	145.19404561489398	1459.1215268718731	1310.3280357176916	495.29881649019416	867.9074943067577	867.9074943067577	867.9074943067577	67.68567126352993	63.14499567911364	38.27305237282096	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999080899418383	0.09841880845509522	0.06763945162937204	0.012880049755808512	0.009223491885304929	0.009091668741638938	32	2000	200	0.7	0.00005	1.7
18	3	3	0.6867063519477861	0.07630742700351123	0.0018241012675822123	0.7867063519477859	0.17630742700351124	0.10182410126758222	0.15715278886097292	0.0935773022944243	0.08755848305732825	2117.8114867914605	434.24958841910507	148.17811042922946	1457.6294944647054	1314.5937554697675	472.8128062835898	867.9074943067577	867.9074943067577	867.9074943067577	65.30588432535205	61.1054606837697	36.38550869945902	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999138759903779	0.09827312008185127	0.06833247294229411	0.012766097665991972	0.00923590268059173	0.00909162091531563	34	2000	200	0.7	0.00005	1.7
19	3	3	0.6790912731938936	0.08139520183622131	0.0017556586802299767	0.7790912731938936	0.18139520183622132	0.10175565868022998	0.1647698096527554	0.09658286898304322	0.09061205803019372	2158.145646762213	426.7959004313226	151.11380030539007	1456.161649526625	1318.3205994636587	452.64572629821356	867.9074943067577	867.9074943067577	867.9074943067577	63.10511305614313	59.203917076113	34.703470121715675	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999186562838769	0.09812856810509621	0.06899451210161509	0.01265910723916674	0.009248249722756379	0.009091581402742488	36	2000	200	0.7	0.00005	1.7
20	3	3	0.6717754271100715	0.08640579844945395	0.001697245629263655	0.7717754271100714	0.18640579844945396	0.10169724562926365	0.17225379518206124	0.09956956492559653	0.09364095929943049	2194.5164391246544	420.22343598366336	154.00345299073268	1454.7168231839537	1321.6068316874885	434.4603301169928	867.9074943067577	867.9074943067577	867.9074943067577	61.06392126933233	57.42803205495596	33.19569336746124	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999226656796155	0.097985240186624	0.06962779623182667	0.012558428680967404	0.009260524848319678	0.00909154826246011	38	2000	200	0.7	0.00005	1.7
21	3	3	0.6647346718336979	0.09134377256990077	0.0016468427763938866	0.7647346718336979	0.19134377256990076	0.10164684277639388	0.17960559367301313	0.10253600258805651	0.0966454412448642	2227.473637723509	414.3816959948567	156.84925691270513	1453.2939212229676	1324.5277016818918	417.9817308175655	867.9074943067577	867.9074943067577	867.9074943067577	59.16558600790743	55.76659926189891	31.83689354717661	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999260722550818	0.0978432041110378	0.07023434697367724	0.012463490234775311	0.009272721524208216	0.009091520105072044	40	2000	200	0.7	0.00005	1.7
