"i"	"xct"	"nStableState"	"rosmax"	"rosmd"	"rosmin"	"camax"	"camd"	"camin"	"nadphmax"	"nadphmd"	"nadphmin"	"gshmax"	"gshmd"	"gshmin"	"gssgmax"	"gssgmd"	"gssgmin"	"cysmax"	"cysmd"	"cysmin"	"cys2max"	"cys2md"	"cys2min"	"glumax"	"glumd"	"glumin"	"pptaseRedmax"	"pptaseRedmd"	"pptaseRedmin"	"rtkPhosmax"	"rtkPhosmd"	"rtkPhosmin"	"glc"	"gln"	"cys2o"	"switchNadphRed"	"kGshPro"	"kGshRed"	"foldkRosDeg"	"foldkGshOx"
1	3	0	"ros"	"Median[ros]"	"ros"	"ca"	"Median[ca]"	"ca"	"nadph"	"Median[nadph]"	"nadph"	"gsh"	"Median[gsh]"	"gsh"	"gssg"	"Median[gssg]"	"gssg"	"cys"	"Median[cys]"	"cys"	"cys2"	"Median[cys2]"	"cys2"	"glu"	"Median[glu]"	"glu"	"pptaseRed"	"Median[pptaseRed]"	"pptaseRed"	"rtkPhos"	"Median[rtkPhos]"	"rtkPhos"	100	2000	200	0.7	0.00005	1.7	0.	0.
2	3	1	0.02080556334010646	0.02080556334010646	0.02080556334010646	0.12080556334010646	0.12080556334010646	0.12080556334010646	0.42744068569973614	0.42744068569973614	0.42744068569973614	3063.4370993586404	3063.4370993586404	3063.4370993586404	0	0	0	867.9074943067577	867.9074943067577	867.9074943067577	13.377491562097003	13.377491562097003	13.377491562097003	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09993213034248404	0.09993213034248404	0.09993213034248404	0.009096521616424486	0.009096521616424486	0.009096521616424486	100	2000	200	0.7	0.00005	1.7	0.05	0.
3	3	1	0.009419092018127916	0.009419092018127916	0.009419092018127916	0.10941909201812791	0.10941909201812791	0.10941909201812791	0.42744068569973614	0.42744068569973614	0.42744068569973614	3063.4370993586404	3063.4370993586404	3063.4370993586404	0	0	0	867.9074943067577	867.9074943067577	867.9074943067577	13.377491562097003	13.377491562097003	13.377491562097003	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09996926264018971	0.09996926264018971	0.09996926264018971	0.009093450078608938	0.009093450078608938	0.009093450078608938	100	2000	200	0.7	0.00005	1.7	0.1	0.
4	3	1	0.006087603971275469	0.006087603971275469	0.006087603971275469	0.10608760397127547	0.10608760397127547	0.10608760397127547	0.42744068569973614	0.42744068569973614	0.42744068569973614	3063.4370993586404	3063.4370993586404	3063.4370993586404	0	0	0	867.9074943067577	867.9074943067577	867.9074943067577	13.377491562097003	13.377491562097003	13.377491562097003	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09998013213819275	0.09998013213819275	0.09998013213819275	0.009092551359580796	0.009092551359580796	0.009092551359580796	100	2000	200	0.7	0.00005	1.7	0.15000000000000002	0.
5	3	1	0.0044970373741494655	0.0044970373741494655	0.0044970373741494655	0.10449703737414946	0.10449703737414946	0.10449703737414946	0.42744068569973614	0.42744068569973614	0.42744068569973614	3063.4370993586404	3063.4370993586404	3063.4370993586404	0	0	0	867.9074943067577	867.9074943067577	867.9074943067577	13.377491562097003	13.377491562097003	13.377491562097003	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09998532244282132	0.09998532244282132	0.09998532244282132	0.009092122274041391	0.009092122274041391	0.009092122274041391	100	2000	200	0.7	0.00005	1.7	0.2	0.
6	3	1	0.003565458908897955	0.003565458908897955	0.003565458908897955	0.10356545890889796	0.10356545890889796	0.10356545890889796	0.42744068569973614	0.42744068569973614	0.42744068569973614	3063.4370993586404	3063.4370993586404	3063.4370993586404	0	0	0	867.9074943067577	867.9074943067577	867.9074943067577	13.377491562097003	13.377491562097003	13.377491562097003	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09998836260100474	0.09998836260100474	0.09998836260100474	0.009091870961181718	0.009091870961181718	0.009091870961181718	100	2000	200	0.7	0.00005	1.7	0.25	0.
7	3	1	0.002953608605822459	0.002953608605822459	0.002953608605822459	0.10295360860582246	0.10295360860582246	0.10295360860582246	0.42744068569973614	0.42744068569973614	0.42744068569973614	3063.4370993586404	3063.4370993586404	3063.4370993586404	0	0	0	867.9074943067577	867.9074943067577	867.9074943067577	13.377491562097003	13.377491562097003	13.377491562097003	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999035944344303	0.09999035944344303	0.09999035944344303	0.009091705900953978	0.009091705900953978	0.009091705900953978	100	2000	200	0.7	0.00005	1.7	0.30000000000000004	0.
8	3	1	0.002520994016539049	0.002520994016539049	0.002520994016539049	0.10252099401653905	0.10252099401653905	0.10252099401653905	0.42744068569973614	0.42744068569973614	0.42744068569973614	3063.4370993586404	3063.4370993586404	3063.4370993586404	0	0	0	867.9074943067577	867.9074943067577	867.9074943067577	13.377491562097003	13.377491562097003	13.377491562097003	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999177137805769	0.09999177137805769	0.09999177137805769	0.00909158919318478	0.00909158919318478	0.00909158919318478	100	2000	200	0.7	0.00005	1.7	0.35000000000000003	0.
9	3	1	0.0021989188929276426	0.0021989188929276426	0.0021989188929276426	0.10219891889292765	0.10219891889292765	0.10219891889292765	0.42744068569973614	0.42744068569973614	0.42744068569973614	3063.4370993586404	3063.4370993586404	3063.4370993586404	0	0	0	867.9074943067577	867.9074943067577	867.9074943067577	13.377491562097003	13.377491562097003	13.377491562097003	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999282256826007	0.09999282256826007	0.09999282256826007	0.009091502305792849	0.009091502305792849	0.009091502305792849	100	2000	200	0.7	0.00005	1.7	0.4	0.
10	3	1	0.0019498159674079018	0.0019498159674079018	0.0019498159674079018	0.1019498159674079	0.1019498159674079	0.1019498159674079	0.42744068569973614	0.42744068569973614	0.42744068569973614	3063.4370993586404	3063.4370993586404	3063.4370993586404	0	0	0	867.9074943067577	867.9074943067577	867.9074943067577	13.377491562097003	13.377491562097003	13.377491562097003	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999363560663983	0.09999363560663983	0.09999363560663983	0.009091435104265565	0.009091435104265565	0.009091435104265565	100	2000	200	0.7	0.00005	1.7	0.45	0.
