"i"	"xct"	"nStableState"	"rosmax"	"rosmd"	"rosmin"	"camax"	"camd"	"camin"	"nadphmax"	"nadphmd"	"nadphmin"	"gshmax"	"gshmd"	"gshmin"	"gssgmax"	"gssgmd"	"gssgmin"	"cysmax"	"cysmd"	"cysmin"	"cys2max"	"cys2md"	"cys2min"	"glumax"	"glumd"	"glumin"	"pptaseRedmax"	"pptaseRedmd"	"pptaseRedmin"	"tkPhosmax"	"tkPhosmd"	"tkPhosmin"	"glc"	"gln"	"cys2o"	"switchNadphRed"	"kGshPro"	"kGshRed"	"foldRos"	"foldkCaInRos"
1	3	1	0	0	0	0.1	0.1	0.1	0.42744068569973614	0.42744068569973614	0.42744068569973614	3063.4370993586404	3063.4370993586404	3063.4370993586404	0	0	0	867.9074943067577	867.9074943067577	867.9074943067577	13.377491562097003	13.377491562097003	13.377491562097003	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.10000000000000002	0.10000000000000002	0.10000000000000002	0.00909090909090909	0.00909090909090909	0.00909090909090909	100	2000	200	0.7	0.00005	1.7	0.	0.
2	3	1	0.00004355038450259368	0.00004355038450259368	0.00004355038450259368	0.1	0.1	0.1	0.4235412389881487	0.4235412389881487	0.4235412389881487	3045.057768665364	3045.057768665364	3045.057768665364	9.189665346638055	9.189665346638055	9.189665346638055	867.9074943067577	867.9074943067577	867.9074943067577	13.500655048150286	13.500655048150286	13.500655048150286	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999985698030868	0.09999985698030868	0.09999985698030868	0.009090920910733661	0.009090920910733661	0.009090920910733661	100	2000	200	0.7	0.00005	1.7	0.05	0.
3	3	1	0.00008818109486729504	0.00008818109486729504	0.00008818109486729504	0.1	0.1	0.1	0.41964439843752516	0.41964439843752516	0.41964439843752516	3026.349492787992	3026.349492787992	3026.349492787992	18.543803285324103	18.543803285324103	18.543803285324103	867.9074943067577	867.9074943067577	867.9074943067577	13.626022860153727	13.626022860153727	13.626022860153727	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999997086230849	0.0999997086230849	0.0999997086230849	0.009090933171709665	0.009090933171709665	0.009090933171709665	100	2000	200	0.7	0.00005	1.7	0.1	0.
4	3	1	0.000133952534541445	0.000133952534541445	0.000133952534541445	0.1	0.1	0.1	0.4157502315593427	0.4157502315593427	0.4157502315593427	3007.3037071870112	3007.3037071870112	3007.3037071870112	28.06669608581458	28.06669608581458	28.06669608581458	867.9074943067577	867.9074943067577	867.9074943067577	13.753652390759997	13.753652390759997	13.753652390759997	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999955457795114	0.09999955457795114	0.09999955457795114	0.00909094590279773	0.00909094590279773	0.00909094590279773	100	2000	200	0.7	0.00005	1.7	0.15000000000000002	0.
5	3	1	0.00018092950973278764	0.00018092950973278764	0.00018092950973278764	0.1	0.1	0.1	0.4118588080948348	0.4118588080948348	0.4118588080948348	2987.911560040021	2987.911560040021	2987.911560040021	37.76276965930972	37.76276965930972	37.76276965930972	867.9074943067577	867.9074943067577	867.9074943067577	13.883602957760534	13.883602957760534	13.883602957760534	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999939446529624	0.09999939446529624	0.09999939446529624	0.009090959135374974	0.009090959135374974	0.009090959135374974	100	2000	200	0.7	0.00005	1.7	0.2	0.
6	3	1	0.00022918162612266572	0.00022918162612266572	0.00022918162612266572	0.1	0.1	0.1	0.4079702001011664	0.4079702001011664	0.4079702001011664	2968.1639006658015	2968.1639006658015	2968.1639006658015	47.63659934641944	47.63659934641944	47.63659934641944	867.9074943067577	867.9074943067577	867.9074943067577	14.015935881658109	14.015935881658109	14.015935881658109	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999922787331086	0.09999922787331086	0.09999922787331086	0.009090972903480083	0.009090972903480083	0.009090972903480083	100	2000	200	0.7	0.00005	1.7	0.25	0.
7	3	1	0.0002787837283080502	0.0002787837283080502	0.0002787837283080502	0.1	0.1	0.1	0.404084482041127	0.404084482041127	0.404084482041127	2948.0512674141046	2948.0512674141046	2948.0512674141046	57.69291597226774	57.69291597226774	57.69291597226774	867.9074943067577	867.9074943067577	867.9074943067577	14.150714566819717	14.150714566819717	14.150714566819717	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999905435466785	0.09999905435466785	0.09999905435466785	0.009090987244087747	0.009090987244087747	0.009090987244087747	100	2000	200	0.7	0.00005	1.7	0.30000000000000004	0.
8	3	1	0.0003298163873469727	0.0003298163873469727	0.0003298163873469727	0.1	0.1	0.1	0.40020173087645555	0.40020173087645555	0.40020173087645555	2927.5638749938357	2927.5638749938357	2927.5638749938357	67.9366121824023	67.9366121824023	67.9366121824023	867.9074943067577	867.9074943067577	867.9074943067577	14.288004586392907	14.288004586392907	14.288004586392907	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999887342279866	0.09999887342279866	0.09999887342279866	0.009091002197416483	0.009091002197416483	0.009091002197416483	100	2000	200	0.7	0.00005	1.7	0.35000000000000003	0.
9	3	1	0.0003823664425580086	0.0003823664425580086	0.0003823664425580086	0.1	0.1	0.1	0.396322026164905	0.396322026164905	0.396322026164905	2906.6916012107467	2906.6916012107467	2906.6916012107467	78.37274907394675	78.37274907394675	78.37274907394675	867.9074943067577	867.9074943067577	867.9074943067577	14.427873771179067	14.427873771179067	14.427873771179067	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999868454770866	0.09999868454770866	0.09999868454770866	0.009091017807274594	0.009091017807274594	0.009091017807274594	100	2000	200	0.7	0.00005	1.7	0.4	0.
10	3	1	0.0004365276046275057	0.0004365276046275057	0.0004365276046275057	0.1	0.1	0.1	0.3924454501611494	0.3924454501611494	0.3924454501611494	2885.4239730841277	2885.4239730841277	2885.4239730841277	89.00656313725614	89.00656313725614	89.00656313725614	867.9074943067577	867.9074943067577	867.9074943067577	14.570392302668221	14.570392302668221	14.570392302668221	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.0999984871512655	0.0999984871512655	0.0999984871512655	0.009091034121449692	0.009091034121449692	0.009091034121449692	100	2000	200	0.7	0.00005	1.7	0.45	0.
11	3	1	0.0004924011281315686	0.0004924011281315686	0.0004924011281315686	0.1	0.1	0.1	0.3885720879216268	0.3885720879216268	0.3885720879216268	2863.7501523102073	2863.7501523102073	2863.7501523102073	99.84347352421644	99.84347352421644	99.84347352421644	867.9074943067577	867.9074943067577	867.9074943067577	14.715632810451606	14.715632810451606	14.715632810451606	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999828060188354	0.09999828060188354	0.09999828060188354	0.00909105119214815	0.00909105119214815	0.00909105119214815	100	2000	200	0.7	0.00005	1.7	0.5	0.
12	3	1	0.0005500965628114307	0.0005500965628114307	0.0005500965628114307	0.1	0.1	0.1	0.3847020274133964	0.3847020274133964	0.3847020274133964	2841.658920038092	2841.658920038092	2841.658920038092	110.88908966027397	110.88908966027397	110.88908966027397	867.9074943067577	867.9074943067577	867.9074943067577	14.863670474241065	14.863670474241065	14.863670474241065	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999806420851495	0.09999806420851495	0.09999806420851495	0.009091069076491895	0.009091069076491895	0.009091069076491895	100	2000	200	0.7	0.00005	1.7	0.55	0.
13	3	1	0.0006097325943846451	0.0006097325943846451	0.0006097325943846451	0.1	0.1	0.1	0.38083535962707554	0.38083535962707554	0.38083535962707554	2819.1386609220463	2819.1386609220463	2819.1386609220463	122.149219218297	122.149219218297	122.149219218297	867.9074943067577	867.9074943067577	867.9074943067577	15.014583130737865	15.014583130737865	15.014583130737865	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999783721384259	0.09999783721384259	0.09999783721384259	0.009091087837081182	0.009091087837081182	0.009091087837081182	100	2000	200	0.7	0.00005	1.7	0.6000000000000001	0.
14	3	1	0.0006714379873715289	0.0006714379873715289	0.0006714379873715289	0.1	0.1	0.1	0.37697217869389527	0.37697217869389527	0.37697217869389527	2796.1773464117	2796.1773464117	2796.1773464117	133.62987647347015	133.62987647347015	133.62987647347015	867.9074943067577	867.9074943067577	867.9074943067577	15.16845138560825	15.16845138560825	15.16845138560825	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999759878655205	0.09999759878655205	0.09999759878655205	0.009091107542633531	0.009091107542633531	0.009091107542633531	100	2000	200	0.7	0.00005	1.7	0.65	0.
15	3	1	0.0007353526444163533	0.0007353526444163533	0.0007353526444163533	0.1	0.1	0.1	0.3731125820068892	0.3731125820068892	0.3731125820068892	2772.762517239415	2772.762517239415	2772.762517239415	145.33729105961257	145.33729105961257	145.33729105961257	867.9074943067577	867.9074943067577	867.9074943067577	15.325358730839042	15.325358730839042	15.325358730839042	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999734801253847	0.09999734801253847	0.09999734801253847	0.009091128268710726	0.009091128268710726	0.009091128268710726	100	2000	200	0.7	0.00005	1.7	0.7000000000000001	0.
16	3	1	0.0008016287989466683	0.0008016287989466683	0.0008016287989466683	0.1	0.1	0.1	0.3692566703461916	0.3692566703461916	0.3692566703461916	2748.8812650614223	2748.8812650614223	2748.8812650614223	157.27791714860902	157.27791714860902	157.27791714860902	867.9074943067577	867.9074943067577	867.9074943067577	15.485391667763956	15.485391667763956	15.485391667763956	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999708388487814	0.09999708388487814	0.09999708388487814	0.009091150098547978	0.009091150098547978	0.009091150098547978	100	2000	200	0.7	0.00005	1.7	0.75	0.
17	3	1	0.0008704323608162601	0.0008704323608162601	0.0008704323608162601	0.1	0.1	0.1	0.36540454800837624	0.36540454800837624	0.36540454800837624	2724.52021320651	2724.52021320651	2724.52021320651	169.45844307606507	169.45844307606507	169.45844307606507	867.9074943067577	867.9074943067577	867.9074943067577	15.648639836070403	15.648639836070403	15.648639836070403	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999680529236368	0.09999680529236368	0.09999680529236368	0.009091173124001841	0.009091173124001841	0.009091173124001841	100	2000	200	0.7	0.00005	1.7	0.8	0.
18	3	1	0.00094194443790884	0.00094194443790884	0.00094194443790884	0.1	0.1	0.1	0.36155632293970924	0.36155632293970924	0.36155632293970924	2699.6654964829086	2699.6654964829086	2699.6654964829086	181.88580143786584	181.88580143786584	181.88580143786584	867.9074943067577	867.9074943067577	867.9074943067577	15.815196149117511	15.815196149117511	15.815196149117511	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999651100636449	0.09999651100636449	0.09999651100636449	0.009091197446636641	0.009091197446636641	0.009091197446636641	100	2000	200	0.7	0.00005	1.7	0.8500000000000001	0.
19	3	1	0.0010163630606531888	0.0010163630606531888	0.0010163630606531888	0.1	0.1	0.1	0.3577121068731168	0.3577121068731168	0.3577121068731168	2674.3027399905213	2674.3027399905213	2674.3027399905213	194.56717968405937	194.56717968405937	194.56717968405937	867.9074943067577	867.9074943067577	867.9074943067577	15.985156935919491	15.985156935919491	15.985156935919491	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999619966572873	0.09999619966572873	0.09999619966572873	0.009091223178972863	0.009091223178972863	0.009091223178972863	100	2000	200	0.7	0.00005	1.7	0.9	0.
20	3	1	0.0010939051411552817	0.0010939051411552817	0.0010939051411552817	0.1	0.1	0.1	0.3538720154685788	0.3538720154685788	0.3538720154685788	2648.4170368817686	2648.4170368817686	2648.4170368817686	207.51003123843586	207.51003123843586	207.51003123843586	867.9074943067577	867.9074943067577	867.9074943067577	16.158622090174575	16.158622090174575	16.158622090174575	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999586975938833	0.09999586975938833	0.09999586975938833	0.00909125044592548	0.00909125044592548	0.00909125044592548	100	2000	200	0.7	0.00005	1.7	0.9500000000000001	0.
21	3	1	0.0011748087043617122	0.0011748087043617122	0.0011748087043617122	0.1	0.1	0.1	0.35003616845654373	0.35003616845654373	0.35003616845654373	2621.9929250098894	2621.9929250098894	2621.9929250098894	220.72208717437536	220.72208717437536	220.72208717437536	867.9074943067577	867.9074943067577	867.9074943067577	16.335695226749305	16.335695226749305	16.335695226749305	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999551960626173	0.09999551960626173	0.09999551960626173	0.009091279386465784	0.009091279386465784	0.009091279386465784	100	2000	200	0.7	0.00005	1.7	1.	0.
22	3	1	0	0	0	0.1	0.1	0.1	0.42744068569973614	0.42744068569973614	0.42744068569973614	3063.4370993586404	3063.4370993586404	3063.4370993586404	0	0	0	867.9074943067577	867.9074943067577	867.9074943067577	13.377491562097003	13.377491562097003	13.377491562097003	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.10000000000000002	0.10000000000000002	0.10000000000000002	0.00909090909090909	0.00909090909090909	0.00909090909090909	100	2000	200	0.7	0.00005	1.7	0.	0.05
23	3	1	0.00004355134439252264	0.00004355134439252264	0.00004355134439252264	0.10000217756721963	0.10000217756721963	0.10000217756721963	0.42354115410321036	0.42354115410321036	0.42354115410321036	3045.0573648920786	3045.0573648920786	3045.0573648920786	9.189867233280847	9.189867233280847	9.189867233280847	867.9074943067577	867.9074943067577	867.9074943067577	13.500657753913964	13.500657753913964	13.500657753913964	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999985697713744	0.09999985697713744	0.09999985697713744	0.009090920910995746	0.009090920910995746	0.009090920910995746	100	2000	200	0.7	0.00005	1.7	0.05	0.05
24	3	1	0.00008818508001311858	0.00008818508001311858	0.00008818508001311858	0.10000440925400066	0.10000440925400066	0.10000440925400066	0.4196440549112204	0.4196440549112204	0.4196440549112204	3026.347828242169	3026.347828242169	3026.347828242169	18.54463555823563	18.54463555823563	18.54463555823563	867.9074943067577	867.9074943067577	867.9074943067577	13.626034014600517	13.626034014600517	13.626034014600517	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999970860975654	0.09999970860975654	0.09999970860975654	0.009090933172811188	0.009090933172811188	0.009090933172811188	100	2000	200	0.7	0.00005	1.7	0.1	0.05
25	3	1	0.00013396185087980166	0.00013396185087980166	0.00013396185087980166	0.10000669809254399	0.10000669809254399	0.10000669809254399	0.4157494493279549	0.4157494493279549	0.4157494493279549	3007.2998455689344	3007.2998455689344	3007.2998455689344	28.068626894852873	28.068626894852873	28.068626894852873	867.9074943067577	867.9074943067577	867.9074943067577	13.753678268217238	13.753678268217238	13.753678268217238	1906.0280554150588	1906.0280554150588	1906.0280554150588	0.09999955454640037	0.09999955454640037	0.09999955454640037	0.009090945905405252	0.009090945905405252	0.009090945905405252	100	2000	200	0.7	0.00005	1.7	0.15000000000000002	0.05
