"t"	"glc"	"gln"	"cys2o"	"xct"	"x"	"ros[t]"	"ca[t]"	"gsh[t]"	"gssg[t]"	"nadph[t]"	"cys2[t]"	"cys[t]"	"pptaseRed[t]"	"tkPhos[t]"	"glu[t]"	"ros'[t]"	"ca'[t]"	"gsh'[t]"	"gssg'[t]"	"nadph'[t]"	"cys2'[t]"	"cys'[t]"	"pptaseRed'[t]"	"tkPhos'[t]"	"glu'[t]"
0	0	250.	25.	3	0.125	0.0011004364350926115	0.10110043643509262	2862.7623149642886	100.33739219717576	0.8829376627450988	6.476203708954218	867.9074943067577	0.09999615618058633	0.00909122677303604	1906.0280554150588	-15.625158906232997	4.336808689942018e-19	2.842170943040401e-14	-2.842170943040401e-14	-995.0298666666607	-100.0664729092906	5.684341886080802e-14	-2.3978215246689416e-15	-1.7347234759751364e-18	25.066472909290596
1	0	250.	25.	3	0.125	0.0011447863962567991	0.10108605974099194	2669.629240522728	192.53238508068696	0.1553938246838036	15.120533958623637	690.0344777559824	0.09999571541017446	0.009091231519898671	1938.977035975684	0.0001658009854599486	0.00005872661998906462	-180.858812342537	82.64006310000735	-0.014575348327057092	2.2225330822676845	-132.93018909072404	-9.107186732019033e-7	3.485007574088737e-8	38.85486006369905
2	0	250.	25.	3	0.125	0.0013189932602482332	0.10118639233360713	2500.230981222928	267.08422511909953	0.14461978973480594	16.8009876128108	582.0623240166574	0.09999472905180509	0.009091284040459236	1981.5275741539701	0.00018272023959927283	0.00013260049314713	-158.848269320578	67.29407975231663	-0.008199283270580875	1.414628603565811	-86.50220198726437	-1.0649300941737075e-6	6.675222663668994e-8	45.46737809153312
3	0	250.	25.	3	0.125	0.001510390099687922	0.10133972192719948	2350.496160102088	328.4456217003383	0.13798058964255017	18.092083205980614	511.94724130755327	0.09999357983571705	0.009091361130682537	2028.6652711260924	0.00020009421337725567	0.0001706680008121085	-141.1680809803265	55.94855231656557	-0.005342071968123328	1.1842594867393759	-55.7312904157697	-1.2359807945782445e-6	8.643649733425181e-8	48.30860185616296
4	0	250.	25.	3	0.125	0.001719097922847292	0.10152349640794602	2217.025754292826	379.8216543207967	0.13356736334626493	19.187925431837872	467.28885206976213	0.09999225293053106	0.0090914558834534	2077.335559707169	0.00021722290510568055	0.0001956016783180511	-126.12619043059188	47.145952150406615	-0.0036169098770003263	1.0136681698642735	-34.94957853609152	-1.419489315397529e-6	1.0284966717106077e-7	48.708085335342666
5	0	250.	25.	3	0.125	0.0019445432820814417	0.10172923503152576	2097.636963347491	423.31316791139847	0.13054477354760244	20.129626411471083	439.78000458923015	0.09999073837479468	0.009091566661914881	2125.561554587635	0.0002334789067837021	0.00021530815289960782	-112.91775502736978	40.080811259861854	-0.002505181631054212	0.874031698494614	-21.003933954598217	-1.6104460961375124e-6	1.1869868242006452e-7	47.538987228704876
6	0	250.	25.	3	0.125	0.0021856074189717375	0.10195324643052325	1990.7060747501478	460.4053907230639	0.12843524521361557	20.943484830644262	423.72641151603386	0.09998903120950926	0.009091693308120196	2172.0915076008987	0.0002483945480641635	0.00023236097994566731	-101.16716282261307	34.28741708546092	-0.0017613685950912425	0.7569826105231626	-11.74365078151797	-1.8038974788811292e-6	1.34609853776449e-7	45.39774572926775
7	0	250.	25.	3	0.125	0.0024407743653419925	0.10219331221174188	1894.8838983761336	492.2131225337453	0.12694480770844788	21.64949403076981	415.231105341325	0.09998713132170169	0.009091835885070659	2216.1710524508953	0.00026164060420772557	0.00024746217234930984	-90.6749117133842	29.472345270189088	-0.0012503634515542968	0.6576899779986621	-5.683020637449134	-1.9951416059621598e-6	1.5052553588296675e-7	42.694327837944904
8	0	250.	25.	3	0.125	0.002708263660207605	0.1024475540856348	1808.9799720974122	519.6091483739597	0.12588375750964464	22.263691819886166	411.6395579719327	0.09998504307039321	0.009091994273242145	2257.387241729746	0.00027301572083146287	0.00026070957652733604	-81.31229128049193	25.436207675022505	-0.0008925067152544056	0.5729057106320469	-1.795065530071014	-2.179977845251107e-6	1.6618258993373952e-7	39.70920725843683
9	0	250.	25.	3	0.125	0.002986152708633046	0.10271409724558771	1731.9166045645723	543.2967958872455	0.12512525199498545	22.799345615123286	411.1551451480293	0.09998277467056677	0.009092168064846294	2295.55931132271	0.0002824349643722146	0.0002720554629910542	-72.97806192855954	22.034913573478203	-0.0006388142511968328	0.5002580709659522	0.6283779649472043	-2.3549286789511013e-6	1.8128455000551536e-7	36.631561494810335
10	0	250.	25.	3	0.125	0.003272486360971048	0.10299101946185271	1662.711416975273	563.8538927979587	0.12458206537745181	23.267635810973545	412.57198418184373	0.09998033738460282	0.009092356569180097	2330.661557042562	0.00028991529445346873	0.00028146690999735527	-65.58121204849154	19.159084309201212	-0.00045763551506981044	0.43790449868528203	2.0739599455882622	-2.517395113736579e-6	1.955690182111308e-7	33.58604012842775
